date,team,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home
2021-10-23,Milwaukee,San Antonio,121,111,-250.0,210.0,225.5,-6.0,114.5,0.42328042328042326,0.3333333333333333,0.7021276595744681,46.0,22.0,7.0,4.5,11.0,22.5,111.0,0.5,0.489010989010989,0.35185185185185186,0.6875,41.0,28.0,9.5,2.5,14.0,19.5,109.5,0.5,0
2021-10-23,Dallas,Toronto,103,95,-190.0,170.0,217.5,-5.0,105.0,0.3333333333333333,0.3023255813953488,0.9230769230769231,50.0,16.0,7.0,3.0,15.0,21.0,87.0,0.0,0.36548223350253806,0.2463768115942029,0.8604651162790697,57.0,18.0,13.0,3.0,15.0,17.0,99.0,0.5,0
2021-10-24,Houston,Boston,97,107,180.0,-210.0,221.5,5.0,113.0,0.4808743169398907,0.39436619718309857,0.7222222222222222,47.5,25.0,12.5,6.5,20.5,21.5,115.0,0.5,0.4020100502512563,0.3516483516483517,0.7352941176470589,49.0,26.5,9.5,10.5,21.5,21.5,108.5,0.0,1
2021-10-24,Sacramento,Golden State,107,119,130.0,-150.0,234.5,3.0,114.5,0.42408376963350786,0.3246753246753247,0.76,47.5,22.0,10.5,4.5,12.5,22.0,112.5,0.5,0.4772727272727273,0.4142857142857143,0.75,51.5,28.5,7.0,3.0,19.0,19.0,118.0,1.0,1
2021-10-24,Boston,Houston,107,97,-210.0,180.0,221.5,-5.0,113.0,0.4020100502512563,0.3516483516483517,0.7352941176470589,49.0,26.5,9.5,10.5,21.5,21.5,108.5,0.0,0.4808743169398907,0.39436619718309857,0.7222222222222222,47.5,25.0,12.5,6.5,20.5,21.5,115.0,0.5,0
2021-10-24,Memphis,LA Lakers,118,121,180.0,-210.0,225.5,5.5,115.0,0.5,0.42028985507246375,0.8918918918918919,50.5,27.0,6.5,5.5,10.5,17.0,126.0,1.0,0.43646408839779005,0.39473684210526316,0.6458333333333334,45.5,23.0,7.0,3.5,16.5,25.5,109.5,0.0,0
2021-10-24,LA Lakers,Memphis,121,118,-210.0,180.0,225.5,-5.5,115.0,0.43646408839779005,0.39473684210526316,0.6458333333333334,45.5,23.0,7.0,3.5,16.5,25.5,109.5,0.0,0.5,0.42028985507246375,0.8918918918918919,50.5,27.0,6.5,5.5,10.5,17.0,126.0,1.0,1
2021-10-24,Orlando,New York,110,104,600.0,-900.0,212.0,12.0,108.0,0.40236686390532544,0.3611111111111111,0.8157894736842105,45.0,20.5,5.5,4.5,17.0,19.0,96.5,0.0,0.49222797927461137,0.41414141414141414,0.6363636363636364,46.5,30.5,9.5,7.0,14.0,20.5,129.5,1.0,0
2021-10-24,Philadelphia,Oklahoma City,115,103,-500.0,400.0,216.0,-9.5,106.0,0.4943181818181818,0.4426229508196721,0.8064516129032258,41.0,20.5,8.5,7.0,10.0,16.0,113.0,0.5,0.37362637362637363,0.2692307692307692,0.5882352941176471,44.5,20.5,6.5,3.0,16.5,18.0,88.5,0.0,0
2021-10-24,New York,Orlando,104,110,-900.0,600.0,212.0,-12.0,108.0,0.49222797927461137,0.41414141414141414,0.6363636363636364,46.5,30.5,9.5,7.0,14.0,20.5,129.5,1.0,0.40236686390532544,0.3611111111111111,0.8157894736842105,45.0,20.5,5.5,4.5,17.0,19.0,96.5,0.0,1
2021-10-24,Oklahoma City,Philadelphia,103,115,400.0,-500.0,216.0,9.5,106.0,0.37362637362637363,0.2692307692307692,0.5882352941176471,44.5,20.5,6.5,3.0,16.5,18.0,88.5,0.0,0.4943181818181818,0.4426229508196721,0.8064516129032258,41.0,20.5,8.5,7.0,10.0,16.0,113.0,0.5,1
2021-10-24,Golden State,Sacramento,119,107,-150.0,130.0,234.5,-3.0,114.5,0.4772727272727273,0.4142857142857143,0.75,51.5,28.5,7.0,3.0,19.0,19.0,118.0,1.0,0.42408376963350786,0.3246753246753247,0.76,47.5,22.0,10.5,4.5,12.5,22.0,112.5,0.5,0
